sample_id,strength_grade,w_b_ratio,restraint_code,restraint_percent,max_temperature_c,time_at_max_temperature_h,max_tensile_stress_mpa,time_at_max_tensile_stress_h,max_compressive_stress_mpa,time_at_max_compressive_stress_h,final_stress_mpa,max_deformation_um,min_deformation_um,final_deformation_um,temperature_rise_rate_est,cooling_rate_est,curve_quality_note,source_file,source_image,mapping_mode
C30_wb0p36_R0,C30,0.36,R0,0,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.9399,88.6696,-32.6665,87.4751,33.674157303382216,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,0.36R0.bmp,explicit_map
C30_wb0p36_R50,C30,0.36,R50,50,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.9399,88.6696,-32.6665,87.4751,33.674157303382216,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,0.36R50.bmp,explicit_map
C30_wb0p36_R100,C30,0.36,R100,100,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.9399,88.6696,-32.6665,87.4751,33.674157303382216,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,0.36R100.bmp,explicit_map
C30_wb0p44_R0,C30,0.44,R0,0,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.1744,207.7849,-32.6665,206.6559,38.82954545451068,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\2016-05-12-1122.xls,0.44R0.bmp,explicit_map
C30_wb0p44_R50,C30,0.44,R50,50,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.1744,207.7849,-32.6665,206.6559,38.82954545451068,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\2016-05-12-1122.xls,0.44R50.bmp,explicit_map
C30_wb0p44_R100,C30,0.44,R100,100,35.6901,36.8629,-0.9408,73.3961,0.0967,8.4717,-0.1744,207.7849,-32.6665,206.6559,38.82954545451068,62.14606741573,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列单调递增,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\2016-05-12-1122.xls,0.44R100.bmp,explicit_map
C30_wb0p48_R0,C30,0.48,R0,0,35.2506,11.6189,-0.8556,69.4589,0.0956,10.89,-0.8556,27.0762,-12.7608,26.4478,50.831460674174004,49.831460674174004,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列非严格单调，建议人工复核,data\thermal_stress\raw\温度应力\C30温度应力\C30\金隅C30\2016-05-23-1153.xls,0.48R0.bmp,explicit_map
C30_wb0p48_R50,C30,0.48,R50,50,35.2506,11.6189,-0.8556,69.4589,0.0956,10.89,-0.8556,27.0762,-12.7608,26.4478,50.831460674174004,49.831460674174004,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列非严格单调，建议人工复核,data\thermal_stress\raw\温度应力\C30温度应力\C30\金隅C30\2016-05-23-1153.xls,0.48R50.bmp,explicit_map
C30_wb0p48_R100,C30,0.48,R100,100,35.2506,11.6189,-0.8556,69.4589,0.0956,10.89,-0.8556,27.0762,-12.7608,26.4478,50.831460674174004,49.831460674174004,应力符号约定：max_compressive=列最大值，max_tensile=列最小值；若设备符号相反请人工复核；时间序列非严格单调，建议人工复核,data\thermal_stress\raw\温度应力\C30温度应力\C30\金隅C30\2016-05-23-1153.xls,0.48R100.bmp,explicit_map
